score	rank	total	btr.all	btr.obs	btr.hid	frq.all	frq.hid	frq.obs
119320	1	562	0	0	0	0	0	0
118810	2	677	1	1	0	0.00136054421768707	0	0.00574712643678161
116740	3	620	3	2	1	0.00408163265306122	0.0017825311942959	0.0114942528735632
116730	5	733	4	3	1	0.0054421768707483	0.0017825311942959	0.0172413793103448
116260	7	719	7	4	3	0.00952380952380952	0.0053475935828877	0.0229885057471264
116080	5	615	8	5	3	0.0108843537414966	0.0053475935828877	0.028735632183908
115530	6	602	10	6	4	0.0136054421768707	0.0071301247771836	0.0344827586206897
115030	11	715	12	7	5	0.0163265306122449	0.0089126559714795	0.0402298850574713
114830	9	586	15	8	7	0.0204081632653061	0.0124777183600713	0.0459770114942529
114670	16	709	18	9	9	0.0244897959183673	0.0160427807486631	0.0517241379310345
114580	13	614	19	10	9	0.0258503401360544	0.0160427807486631	0.0574712643678161
114430	22	732	22	11	11	0.0299319727891156	0.0196078431372549	0.0632183908045977
113960	21	640	26	12	14	0.0353741496598639	0.0249554367201426	0.0689655172413793
113940	26	725	27	13	14	0.036734693877551	0.0249554367201426	0.0747126436781609
113770	24	684	29	14	15	0.0394557823129252	0.0267379679144385	0.0804597701149425
113690	25	692	30	15	15	0.0408163265306122	0.0267379679144385	0.0862068965517241
113590	27	700	32	16	16	0.0435374149659864	0.0285204991087344	0.0919540229885057
113270	23	618	34	17	17	0.0462585034013605	0.0303030303030303	0.0977011494252874
113240	35	728	36	18	18	0.0489795918367347	0.0320855614973262	0.103448275862069
112860	25	572	42	19	23	0.0571428571428571	0.0409982174688057	0.109195402298851
112700	28	590	44	20	24	0.0598639455782313	0.0427807486631016	0.114942528735632
112700	41	724	44	20	24	0.0598639455782313	0.0427807486631016	0.114942528735632
112650	39	703	46	22	24	0.0625850340136054	0.0427807486631016	0.126436781609195
112380	41	706	48	23	25	0.0653061224489796	0.0445632798573975	0.132183908045977
112370	44	711	50	24	26	0.0680272108843537	0.0463458110516934	0.137931034482759
112360	31	594	51	25	26	0.0693877551020408	0.0463458110516934	0.14367816091954
112340	38	660	52	26	26	0.0707482993197279	0.0463458110516934	0.149425287356322
112110	44	666	58	27	31	0.0789115646258503	0.0552584670231729	0.155172413793103
112100	37	601	59	28	31	0.0802721088435374	0.0552584670231729	0.160919540229885
112010	35	578	61	29	32	0.0829931972789116	0.0570409982174688	0.166666666666667
