Score,Rank,Total,Notes
"119,320",1,562,
"107,910",95,563,
"89,390",343,564,"originally 85,390; edited to 89,390 to fix consistency problem Jul 8, 2014 "
"54,650",498,565,
"51,650",505,566,
"109,590",62,567,
"98,050",266,568,
"105,220",152,569,
"110,550",49,570,
"111,310",39,571,
"112,860",25,572,
"107,260",119,573,
"65,720",480,574,
"106,100",144,575,
"110,180",57,576,
"110,560",51,577,
"112,010",35,578,
"107,870",103,579,
"107,960",100,580,
"104,620",177,581,
"104,940",171,582,
"48,510",532,583,
"106,920",134,584,
"102,960",208,585,
"114,830",9,586,
"102,540",217,587,
"100,630",254,588,
"81,710",432,589,
"112,700",28,590,
"95,530",314,591,
"111,060",49,592,
"78,840",451,593,
"112,360",31,594,
"103,290",207,595,
"105,010",174,596,
"112,000",39,597,
"102,400",225,598,
"98,770",279,599,
"106,950",139,600,
"112,100",37,601,
"115,530",6,602,
"9,970",584,603,
"102,420",228,604,
"104,300",192,605,
"103,960",198,606,
"97,460",312,607,
"100,070",269,608,
"101,870",240,609,
"108,100",106,610,
"108,420",99,611,
"8,630",594,612,
"99,010",285,613,
"114,580",13,614,
"116,080",5,615,
"105,440",171,616,
"101,130",264,617,
"113,270",23,618,
"92,720",370,619,
"116,740",3,620,
"101,680",254,621,
"102,970",227,622,
"89,230",413,623,
"106,600",160,624,
"106,610",159,625,
"108,570",102,626,
"110,570",63,627,
"67,850",524,628,
"64,570",534,629,
"15,470",604,630,
"103,260",227,631,
"99,180",295,632,
"104,170",206,633,
"62,460",544,634,
"110,180",71,635,
"102,910",237,636,
"106,320",168,637,
"108,940",96,638,
"72,090",518,639,
"113,960",21,640,
"108,950",97,641,
"91,140",404,642,
"67,770",536,643,
"109,670",80,644,
"73,300",517,645,
"110,190",72,646,
"57,900",570,647,
"65,740",546,648,
"54,370",578,649,
"103,580",228,650,
"76,960",501,651,
"107,670",131,652,
"109,250",94,653,
"111,940",49,654,
"100,390",298,655,
"99,950",300,656,
"12,990",634,657,
"96,990",349,658,
"71,030",537,659,
"112,340",38,660,
520,656,661,
"74,720",519,662,
"104,410",213,663,
"99,570",309,664,
"107,290",149,665,
"112,110",44,666,
"105,510",190,667,
"102,690",257,668,
"103,650",235,669,
"107,540",142,670,
"103,920",228,671,
"60,410",582,672,
"104,430",217,673,
"71,700",546,674,
"94,000",396,675,
"106,390",179,676,
"118,810",2,677,
"55,860",600,678,
"109,980",82,679,
"98,570",339,680,
"109,020",103,681,
"110,820",66,682,
"107,630",143,683,
"113,770",24,684,
"31,140",647,685,
"110,190",78,686,
"108,570",119,687,
"106,610",182,688,
"78,380",527,689,
"78,610",526,690,
"85,280",491,691,
"113,690",25,692,
"109,920",87,693,
"109,200",105,694,
"107,820",142,695,
"64,210",594,696,
"95,080",399,697,
"109,240",105,698,
"100,700",320,699,
"113,590",27,700,
"108,800",121,701,
"83,300",509,702,
"112,650",39,703,
"95,590",394,704,
"65,890",595,705,
"112,380",41,706,
"93,070",427,707,
"100,130",329,708,
"114,670",16,709,
"96,520",388,710,
"112,370",44,711,
"109,800",93,712,
"72,810",574,713,
"79,090",544,714,
"115,030",11,715,
"108,110",142,716,
"108,150",141,717,
"102,300",297,718,
"116,260",7,719,
"93,380",434,720,
"107,580",164,721,
"99,540",349,722,
"93,240",438,723,
"112,700",41,724,
"113,940",26,725,
"65,860",616,726,
"99,330",354,727,
"113,240",35,728,
"102,940",285,729,
"108,830",130,730,
"106,300",212,731,
"114,430",22,732,
"116,730",5,733,
"111,170",72,734,
"94,190",441,735,
