Score,Rank,Pct,Max,Mean,Median,Total
"103,250",1,0.00,"103,250","103,250","103,250",1
"118,450",1,0.50,"118,450","110,850","103,250",2
"70,890",3,0.00,"118,450","97,530","87,070",3
"120,370",1,0.75,"120,370","103,240","103,250",4
"118,530",2,0.60,"120,370","106,298","110,850",5
"113,360",4,0.33,"120,370","107,475","113,360",6
"119,030",2,0.71,"120,370","109,126","115,905",7
"119,120",2,0.75,"120,370","110,375","118,450",8
"116,980",6,0.33,"120,370","111,109","117,715",9
"118,650",4,0.60,"120,370","111,863","118,450",10
"112,900",9,0.18,"120,370","111,957","117,715",11
"114,440",8,0.33,"120,370","112,164","116,980",12
"116,300",8,0.38,"120,370","112,482","116,640",13
"115,720",9,0.36,"120,370","112,714","116,300",14
"119,130",2,0.87,"120,370","113,141","116,640",15
"117,340",8,0.50,"120,370","113,404","116,980",16
"116,680",10,0.41,"120,370","113,596","116,830",17
"119,470",2,0.89,"120,370","113,923","116,980",18
"116,340",12,0.37,"120,370","114,050","116,830",19
"121,060",1,0.95,"121,060","114,401","116,980",20
"118,920",7,0.67,"121,060","114,616","117,160",21
"100,230",21,0.05,"121,060","113,962","116,980",22
"112,970",19,0.17,"121,060","113,919","116,830",23
"76,470",23,0.04,"121,060","112,358","116,680",24
"117,570",11,0.56,"121,060","112,567","116,830",25
"112,220",22,0.15,"121,060","112,553","116,680",26
"105,880",23,0.15,"121,060","112,306","116,510",27
"118,770",8,0.71,"121,060","112,537","116,680",28
"119,100",6,0.79,"121,060","112,763","116,830",29
"87,770",28,0.07,"121,060","111,930","116,680",30
"120,000",3,0.90,"121,060","112,191","116,830",31
"105,120",27,0.16,"121,060","111,970","116,680",32
"101,950",29,0.12,"121,060","111,666","116,510",33
"115,450",21,0.38,"121,060","111,777","116,340",34
"114,380",23,0.34,"121,060","111,852","116,320",35
"103,930",30,0.17,"121,060","111,632","116,300",36
"119,640",4,0.89,"121,060","111,848","116,320",37
"111,720",29,0.24,"121,060","111,845","116,300",38
"120,900",2,0.95,"121,060","112,077","116,320",39
"114,030",26,0.35,"121,060","112,126","116,300",40
"114,370",26,0.37,"121,060","112,180","116,010",41
"83,320",40,0.05,"121,060","111,493","115,720",42
"114,800",24,0.44,"121,060","111,570","115,585",43
"118,210",16,0.64,"121,060","111,721","115,720",44
"119,870",5,0.89,"121,060","111,902","116,010",45
"93,710",42,0.09,"121,060","111,507","115,720",46
"118,330",17,0.64,"121,060","111,652","116,010",47
"119,580",7,0.85,"121,060","111,817","116,300",48
"99,880",44,0.10,"121,060","111,573","116,010",49
"110,310",38,0.24,"121,060","111,548","115,720",50
"120,050",4,0.92,"121,060","111,715","116,010",51
"93,010",48,0.08,"121,060","111,355","115,720",52
"119,400",10,0.81,"121,060","111,507","116,010",53
"119,410",10,0.81,"121,060","111,653","116,300",54
"117,640",23,0.58,"121,060","111,762","116,320",55
"116,400",28,0.50,"121,060","111,845","116,340",56
"120,130",4,0.93,"121,060","111,990","116,370",57
"116,540",29,0.50,"121,060","112,069","116,400",58
"117,610",25,0.58,"121,060","112,163","116,470",59
"118,320",23,0.62,"121,060","112,265","116,540",60
"111,970",46,0.25,"121,060","112,260","116,470",61
"117,970",25,0.60,"121,060","112,353","116,540",62
"106,140",50,0.21,"121,060","112,254","116,470",63
"116,470",33,0.48,"121,060","112,320","116,470",64
"100,730",57,0.12,"121,060","112,142","116,435",65
"114,930",39,0.41,"121,060","112,184","116,400",66
"115,780",37,0.45,"121,060","112,237","116,370",67
"105,240",55,0.19,"121,060","112,135","116,340",68
"115,710",39,0.43,"121,060","112,186","116,320",69
"118,650",19,0.73,"121,060","112,279","116,340",70
"114,980",42,0.41,"121,060","112,317","116,320",71
"118,560",21,0.71,"121,060","112,403","116,340",72
"115,070",43,0.41,"121,060","112,440","116,320",73
"104,480",62,0.16,"121,060","112,332","116,300",74
"115,230",43,0.43,"121,060","112,371","116,040",75
"110,440",58,0.24,"121,060","112,346","115,780",76
"94,520",71,0.08,"121,060","112,114","115,750",77
"118,850",18,0.77,"121,060","112,201","115,780",78
"115,220",45,0.43,"121,060","112,239","115,750",79
"117,250",33,0.59,"121,060","112,301","115,780",80
"97,960",74,0.09,"121,060","112,124","115,750",81
"117,710",29,0.65,"121,060","112,192","115,780",82
"117,230",35,0.58,"121,060","112,253","116,040",83
"114,880",52,0.38,"121,060","112,284","115,780",84
"112,160",62,0.27,"121,060","112,283","115,750",85
"119,500",10,0.88,"121,060","112,367","115,780",86
"110,190",68,0.22,"121,060","112,342","115,750",87
"114,720",55,0.38,"121,060","112,369","115,720",88
"114,500",56,0.37,"121,060","112,393","115,715",89
"120,890",3,0.97,"121,060","112,487","115,720",90
"110,390",70,0.23,"121,060","112,464","115,715",91
"117,290",36,0.61,"121,060","112,517","115,720",92
"119,100",17,0.82,"121,060","112,587","115,750",93
"119,480",12,0.87,"121,060","112,661","115,780",94
"26,900",95,0.00,"121,060","111,758","115,750",95
"86,080",92,0.04,"121,060","111,491","115,720",96
"117,520",37,0.62,"121,060","111,553","115,750",97
"97,870",89,0.09,"121,060","111,413","115,720",98
"118,420",29,0.71,"121,060","111,484","115,750",99
"114,450",63,0.37,"121,060","111,514","115,720",100
"119,020",21,0.79,"121,060","111,588","115,750",101
"101,810",88,0.14,"121,060","111,492","115,720",102
"111,950",75,0.27,"121,060","111,496","115,715",103
"95,860",95,0.09,"121,060","111,346","115,710",104
"109,820",81,0.23,"121,060","111,332","115,580",105
"115,450",54,0.49,"121,060","111,370","115,450",106
"117,340",40,0.63,"121,060","111,426","115,580",107
"118,940",22,0.80,"121,060","111,496","115,710",108
"113,850",72,0.34,"121,060","111,517","115,580",109
"113,040",74,0.33,"121,060","111,531","115,450",110
"116,970",47,0.58,"121,060","111,580","115,580",111
"94,630",103,0.08,"121,060","111,429","115,450",112
"107,630",88,0.22,"121,060","111,395","115,450",113
"106,600",89,0.22,"121,060","111,353","115,450",114
"117,040",46,0.60,"121,060","111,403","115,450",115
"117,880",36,0.69,"121,060","111,458","115,450",116
"113,170",77,0.34,"121,060","111,473","115,450",117
"114,360",74,0.37,"121,060","111,498","115,450",118
"106,860",93,0.22,"121,060","111,459","115,340",119
"117,420",42,0.65,"121,060","111,508","115,450",120
"119,670",9,0.93,"121,060","111,576","115,450",121
"106,630",96,0.21,"121,060","111,535","115,450",122
"115,840",58,0.53,"121,060","111,570","115,450",123
520,124,0.00,"121,060","110,675","115,450",124
"99,820",111,0.11,"121,060","110,588","115,340",125
"117,180",49,0.61,"121,060","110,640","115,450",126
"116,190",59,0.54,"121,060","110,684","115,450",127
"117,670",39,0.70,"121,060","110,738","115,450",128
"110,860",93,0.28,"121,060","110,739","115,450",129
"118,500",31,0.76,"121,060","110,799","115,450",130
"115,300",68,0.48,"121,060","110,833","115,450",131
"89,520",125,0.05,"121,060","110,672","115,450",132
"111,610",95,0.29,"121,060","110,679","115,375",133
"77,360",130,0.03,"121,060","110,430","115,300",134
"61,720",133,0.01,"121,060","110,069","115,265",135
"118,120",37,0.73,"121,060","110,129","115,300",136
"118,590",29,0.79,"121,060","110,190","115,375",137
"115,840",64,0.54,"121,060","110,231","115,450",138
"121,410",1,0.99,"121,410","110,312","115,450",139
"118,210",38,0.73,"121,410","110,368","115,450",140
"94,210",129,0.09,"121,410","110,254","115,450",141
"98,380",124,0.13,"121,410","110,170","115,450",142
"117,600",47,0.67,"121,410","110,222","115,450",143
"119,950",9,0.94,"121,410","110,290","115,450",144
"118,730",29,0.80,"121,410","110,348","115,580",145
"119,190",19,0.87,"121,410","110,408","115,710",146
"119,220",19,0.87,"121,410","110,468","115,715",147
"109,260",112,0.24,"121,410","110,460","115,710",148
"115,180",81,0.46,"121,410","110,492","115,580",149
"96,810",134,0.11,"121,410","110,401","115,450",150
"13,320",150,0.01,"121,410","109,758","115,450",151
"118,580",35,0.77,"121,410","109,816","115,450",152
"115,610",77,0.50,"121,410","109,854","115,530",153
"119,940",10,0.94,"121,410","109,919","115,610",154
"112,060",106,0.32,"121,410","109,933","115,530",155
"120,160",6,0.96,"121,410","109,998","115,610",156
"114,530",92,0.41,"121,410","110,027","115,530",157
"113,190",102,0.35,"121,410","110,047","115,450",158
"110,960",114,0.28,"121,410","110,053","115,450",159
"119,320",21,0.87,"121,410","110,111","115,450",160
"116,840",68,0.58,"121,410","110,153","115,530",161
"112,440",109,0.33,"121,410","110,167","115,450",162
"118,060",49,0.70,"121,410","110,215","115,530",163
830,163,0.01,"121,410","109,548","115,450",164
"95,700",148,0.10,"121,410","109,464","115,450",165
"106,390",130,0.22,"121,410","109,446","115,450",166
"119,430",19,0.89,"121,410","109,506","115,450",167
"115,880",78,0.54,"121,410","109,544","115,450",168
"117,490",60,0.64,"121,410","109,591","115,530",169
"94,020",156,0.08,"121,410","109,499","115,450",170
"96,490",151,0.12,"121,410","109,423","115,450",171
"67,790",167,0.03,"121,410","109,181","115,450",172
"118,230",47,0.73,"121,410","109,233","115,450",173
"113,050",111,0.36,"121,410","109,255","115,450",174
"115,010",94,0.46,"121,410","109,288","115,375",175
"93,970",161,0.09,"121,410","109,201","115,300",176
"116,170",80,0.55,"121,410","109,240","115,375",177
"109,930",131,0.26,"121,410","109,244","115,300",178
"97,560",155,0.13,"121,410","109,179","115,265",179
"116,970",71,0.61,"121,410","109,222","115,300",180
"110,350",130,0.28,"121,410","109,228","115,265",181
"114,420",106,0.42,"121,410","109,257","115,230",182
"117,230",67,0.63,"121,410","109,301","115,265",183
"112,620",120,0.35,"121,410","109,319","115,230",184
"117,540",60,0.68,"121,410","109,363","115,265",185
"67,870",180,0.03,"121,410","109,140","115,230",186
"91,090",173,0.07,"121,410","109,043","115,225",187
"116,700",76,0.60,"121,410","109,084","115,230",188
"88,540",176,0.07,"121,410","108,975","115,225",189
"120,440",5,0.97,"121,410","109,036","115,230",190
"101,900",155,0.19,"121,410","108,998","115,225",191
"118,620",39,0.80,"121,410","109,049","115,230",192
"100,500",159,0.18,"121,410","109,004","115,225",193
"118,210",50,0.74,"121,410","109,052","115,230",194
"117,590",62,0.68,"121,410","109,095","115,265",195
"99,190",165,0.16,"121,410","109,045","115,230",196
"117,550",64,0.68,"121,410","109,088","115,265",197
"117,370",69,0.65,"121,410","109,130","115,300",198
"109,050",147,0.26,"121,410","109,130","115,265",199
"104,080",158,0.21,"121,410","109,104","115,230",200
"114,430",115,0.43,"121,410","109,131","115,225",201
"113,760",122,0.40,"121,410","109,154","115,220",202
"119,230",24,0.88,"121,410","109,203","115,225",203
"101,580",167,0.18,"121,410","109,166","115,220",204
"105,110",160,0.22,"121,410","109,146","115,200",205
"92,340",190,0.08,"121,410","109,065","115,180",206
"114,600",112,0.46,"121,410","109,091","115,125",207
"116,520",86,0.59,"121,410","109,127","115,180",208
"104,220",164,0.22,"121,410","109,104","115,125",209
"110,240",148,0.30,"121,410","109,109","115,070",210
"117,340",71,0.66,"121,410","109,148","115,125",211
"112,380",136,0.36,"121,410","109,163","115,070",212
"114,330",124,0.42,"121,410","109,188","115,040",213
"111,890",143,0.33,"121,410","109,200","115,010",214
"115,960",94,0.56,"121,410","109,232","115,040",215
"110,110",155,0.28,"121,410","109,236","115,010",216
"119,350",23,0.89,"121,410","109,282","115,040",217
"113,100",133,0.39,"121,410","109,300","115,010",218
"106,190",167,0.24,"121,410","109,286","114,995",219
"114,600",116,0.47,"121,410","109,310","114,980",220
"108,800",163,0.26,"121,410","109,307","114,955",221
"107,580",165,0.26,"121,410","109,300","114,930",222
"117,860",59,0.74,"121,410","109,338","114,955",223
"116,450",91,0.59,"121,410","109,370","114,980",224
"118,750",38,0.83,"121,410","109,411","114,995",225
"115,150",112,0.50,"121,410","109,437","115,010",226
"84,810",216,0.05,"121,410","109,328","114,995",227
"115,350",108,0.53,"121,410","109,355","115,010",228
"116,940",86,0.62,"121,410","109,388","115,040",229
"83,050",220,0.04,"121,410","109,273","115,010",230
"76,530",222,0.04,"121,410","109,132","114,995",231
"118,900",36,0.84,"121,410","109,174","115,010",232
"95,630",206,0.12,"121,410","109,116","114,995",233
"116,400",95,0.59,"121,410","109,147","115,010",234
"111,320",158,0.33,"121,410","109,156","114,995",235
"117,920",60,0.75,"121,410","109,193","115,010",236
"114,030",137,0.42,"121,410","109,214","114,995",237
"115,790",106,0.55,"121,410","109,241","115,010",238
