date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-26	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0
2020-03-01	2	6	1	0	0	0	0	0
2020-03-08	3	8	4	0	0	0	0	0
2020-03-15	7	18	7	1	0	1	0	0
2020-03-22	12	28	16	4	8	2	2	6
2020-03-29	28	41	43	10	14	29	3	24
2020-04-05	20	37	19	13	27	66	8	37
2020-04-12	16	24	24	11	30	136	8	62
2020-04-19	15	27	12	17	57	253	12	105
2020-04-26	11	18	7	3	54	221	7	106
2020-05-03	12	16	10	10	30	167	10	101
2020-05-10	9	11	10	11	19	93	12	91
2020-05-17	7	9	16	3	22	61	12	74
2020-05-24	6	8	11	4	11	51	6	50
2020-05-31	6	5	5	6	3	68	8	30
2020-06-07	6	7	1	2	0	25	7	40
2020-06-14	5	2	6	4	5	37	6	28
2020-06-21	6	4	9	6	3	39	7	24
2020-06-28	6	3	5	10	5	5	8	13
2020-07-05	9	6	5	3	5	12	10	16
2020-07-12	6	3	4	2	3	21	17	14
2020-07-19	10	4	1	8	3	14	14	4
2020-07-26	13	8	9	8	5	14	11	6
2020-08-02	12	10	2	18	3	20	7	7
2020-08-09	11	7	11	9	3	4	11	10
2020-08-16	7	6	4	12	3	21	11	10
2020-08-23	7	4	1	7	0	17	6	1
2020-08-30	6	5	1	11	-3	4	7	9
2020-09-06	5	2	2	7	0	7	9	7
2020-09-13	6	3	4	9	3	15	19	4
2020-09-20	6	3	2	8	3	7	-6	7
2020-09-27	6	4	4	2	0	10	7	7
2020-10-04	6	7	4	7	0	4	8	10
2020-10-11	6	2	5	6	0	14	13	7
2020-10-18	9	6	10	7	3	15	0	1
2020-10-25	9	4	9	9	5	16	7	6
2020-11-01	9	3	10	12	3	15	5	11
2020-11-08	11	5	9	14	11	15	5	6
2020-11-15	13	9	19	13	11	24	12	17
2020-11-22	16	10	26	19	16	19	9	11
2020-11-29	20	20	27	14	24	42	17	24
2020-12-06	10	11	13	8	33	29	29	26
2020-12-13	21	9	26	10	49	20	39	24
2020-12-20	11	9	11	11	41	39	37	45
2020-12-27	36	33	52	36	27	42	57	43
2021-01-03	31	24	35	43	41	47	69	30
2021-01-10	27	21	28	31	14	78	72	48
2021-01-17	28	23	34	30	16	51	84	33
2021-01-24	22	17	23	28	3	52	78	55
2021-01-31	22	16	7	19	11	39	63	54
2021-02-07	30	15	27	25	22	62	59	45
