width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	76.2999999999999	0.14404693606426
6	state	all	NA	1	101.677551020418	0.00247775725861089
8	state	all	NA	1	108.557823129246	1.37132977460953e-05
4	King	all	NA	1	23.2857142857143	0.109566098572557
6	King	all	NA	1	24.1265306122475	0.00170842172569025
8	King	all	NA	1	33.7823129251684	0.000114269852516906
4	Snohomish	all	NA	1	6.3	0.277858975886786
6	Snohomish	all	NA	1	12.0979591836743	0.0125230424014085
8	Snohomish	all	NA	1	14.527210884353	0.000158958616628087
4	Pierce	all	NA	1	16.9	0.23718604952395
6	Pierce	all	NA	1	15.5387755102057	0.0176650639077373
8	Pierce	all	NA	1	17.2942176870739	0.000218730425230624
4	Ann Arbor	all	NA	-1	-42.3714285714286	0.0829775266918589
6	Ann Arbor	all	NA	-1	-7.5959183673499	0.568900899038075
8	Ann Arbor	all	NA	1	9.51360544217695	0.319216224754461
4	Boston	all	NA	-1	-47.3714285714286	0.0113352044736236
6	Boston	all	NA	-1	-30.4408163265362	0.0212288500775488
8	Boston	all	NA	-1	-8.18027210884212	0.390389980481758
4	San Diego	all	NA	-1	-76.6	0.0151954265028603
6	San Diego	all	NA	-1	-35.4285714285778	0.0602689378259472
8	San Diego	all	NA	-1	-33.6377551020388	0.00346615369192867
4	DC	all	NA	-1	-17.6142857142857	0.0439662730983494
6	DC	all	NA	-1	-11.1265306122467	0.013407440938906
8	DC	all	NA	-1	-9.37074829931949	0.0146114229396944
