date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-26	0	0	0	0	0	1	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	1	0
2020-02-16	0	0	0	0	0	0	0	0
2020-02-23	1	2	1	0	0	0	0	0
2020-03-01	12	29	32	1	0	20	0	0
2020-03-08	66	140	154	28	11	52	2	0
2020-03-15	137	243	356	76	79	460	35	139
2020-03-22	313	507	567	150	457	1154	86	292
2020-03-29	359	364	718	430	930	2214	209	847
2020-04-05	371	605	404	334	607	3213	174	1241
2020-04-12	229	284	314	181	533	3905	139	1258
2020-04-19	243	372	248	165	397	3877	235	1464
2020-04-26	226	272	238	156	294	2565	230	1556
2020-05-03	225	265	208	180	226	1952	285	1849
2020-05-10	205	213	133	127	226	1218	300	1332
2020-05-17	135	108	109	82	158	899	269	1309
2020-05-24	273	144	113	214	185	566	247	1064
2020-05-31	324	217	92	144	101	440	288	782
2020-06-07	270	119	129	92	60	323	290	623
2020-06-14	374	207	128	170	122	240	350	390
2020-06-21	405	303	246	222	133	254	705	329
2020-06-28	542	469	310	357	237	243	856	327
2020-07-05	624	396	337	409	438	356	1101	502
2020-07-12	824	578	487	627	637	363	1121	557
2020-07-19	745	563	471	778	373	325	894	741
2020-07-26	726	484	471	745	286	501	884	691
2020-08-02	648	470	384	631	373	539	818	635
2020-08-09	575	471	333	505	389	642	685	717
2020-08-16	507	516	337	443	242	688	640	531
2020-08-23	445	401	305	293	283	624	552	554
2020-08-30	403	309	232	323	408	506	687	444
2020-09-06	361	274	204	261	419	631	621	361
2020-09-13	377	265	212	272	389	677	563	580
2020-09-20	510	291	259	403	694	626	610	444
2020-09-27	493	427	317	413	898	863	560	366
2020-10-04	556	467	423	533	675	779	582	631
2020-10-11	598	474	606	588	1423	937	551	589
2020-10-18	650	562	651	722	1570	1363	699	527
2020-10-25	753	736	650	691	1529	1872	730	793
2020-11-01	1234	1311	1306	1168	1931	1876	870	886
2020-11-08	1727	1604	1528	1676	2726	2739	1206	1308
2020-11-15	1904	1795	1527	1753	3158	2516	2105	1625
2020-11-22	2533	2420	2219	2355	3390	2403	2789	1909
2020-11-29	2066	1609	1735	1983	2650	4390	3130	2216
2020-12-06	3280	2875	3056	3307	2797	4902	4340	2509
2020-12-13	1808	1489	1558	1556	2495	5218	5397	2407
2020-12-20	1847	1292	1758	1882	1336	4331	5894	1938
2020-12-27	1305	838	1373	1157	1714	4866	6546	2549
2021-01-03	3266	2761	2704	3181	2236	6129	7219	2760
2021-01-10	1891	1533	1524	1951	1719	5430	6380	2947
2021-01-17	1868	1412	1285	1985	1415	4178	4691	2182
2021-01-24	1497	1144	996	1867	2155	3773	3358	2246
2021-01-31	1122	750	894	1234	1678	2655	2566	1722
2021-02-07	1038	818	713	1434	1488	2235	1902	1302
2021-02-14	753	574	779	920	1061	1779	1447	1073
2021-02-21	782	523	612	1094	1102	1796	937	1311
2021-02-28	629	444	435	882	726	1687	941	1126
2021-03-07	637	541	386	913	843	1536	746	1642
2021-03-14	705	618	456	1063	1069	1666	678	1053
2021-03-21	821	892	617	1232	2122	2127	521	1241
2021-03-28	956	985	876	1442	2734	2528	528	1248
2021-04-04	1038	1011	965	1449	3555	2298	605	1176
2021-04-11	1214	1188	1167	1547	3787	1825	525	1158
2021-04-18	1265	1218	1090	1946	2157	1320	331	907
2021-04-25	1254	1242	1169	1751	1409	1091	135	677
