width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	0.442857142857143	0.208761330620259
6	state	all	NA	1	0.346938775510446	0.227568438674527
8	state	all	NA	1	0.343537414965958	0.0517885279909884
4	King	all	NA	1	0.228571428571429	0.33563616117008
6	King	all	NA	1	0.0816326530612672	0.380939210477067
8	King	all	NA	1	0.0901360544217624	0.0928062009085874
4	Snohomish	all	NA	1	0.0142857142857143	0.865160027507352
6	Snohomish	all	NA	1	0.0612244897959631	0.39650145772572
8	Snohomish	all	NA	1	0.015306122448977	0.697552567685855
4	Pierce	all	NA	-1	-0.0285714285714285	0.922150105583848
6	Pierce	all	NA	-1	-0.0326530612244867	0.76079087852984
8	Pierce	all	NA	-1	-0.0425170068027258	0.555019781594897
4	Ann Arbor	all	NA	1	0.171428571428571	0.151471862576143
6	Ann Arbor	all	NA	1	0.0897959183673718	0.106538022413058
8	Ann Arbor	all	NA	1	0.103741496598634	0.00435268729234589
4	Boston	all	NA	-1	-0.0571428571428571	0.789181489322108
6	Boston	all	NA	-1	-0.224489795918379	0.104975972439604
8	Boston	all	NA	-1	-0.297619047619029	0.00477963710049614
4	San Diego	all	NA	-1	-1.74285714285714	0.287511518486634
6	San Diego	all	NA	-1	-0.706122448980059	0.311940999941609
8	San Diego	all	NA	-1	-0.641156462584989	0.0960399678691474
4	DC	all	NA	-1	-0.357142857142857	0.294303203827954
6	DC	all	NA	-1	-0.28571428571437	0.0454814312382076
8	DC	all	NA	-1	-0.10204081632652	0.267462642134769
