date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-26	0	0	0	0	0	1	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-16	0	1	0	0	0	0	0	0
2020-02-26	2	6	2	0	0	0	0	0
2020-03-08	6	13	8	2	1	0	0	0
2020-03-18	12	23	15	5	8	17	2	10
2020-03-29	17	30	22	8	19	59	4	30
2020-04-08	18	30	21	11	31	118	7	58
2020-04-19	15	25	17	11	40	165	9	83
2020-04-29	12	19	13	10	37	165	10	94
2020-05-10	9	13	11	8	27	126	10	86
2020-05-20	7	9	9	6	16	82	9	66
2020-05-31	6	6	7	5	8	53	8	46
2020-06-10	5	4	6	4	4	34	7	32
2020-06-21	6	4	5	5	3	23	8	22
2020-07-01	7	4	5	5	3	17	10	15
2020-07-12	9	5	5	6	4	15	12	10
2020-07-22	10	6	5	9	4	14	12	8
2020-08-02	10	7	5	10	3	14	11	7
2020-08-12	9	6	5	11	2	14	10	7
2020-08-23	7	5	3	10	1	12	9	7
2020-09-02	6	4	2	9	0	10	8	6
2020-09-13	6	3	2	7	1	9	8	6
2020-09-23	6	4	3	6	1	9	6	7
2020-10-04	6	4	4	6	1	10	6	6
2020-10-14	7	4	6	7	1	12	6	6
2020-10-25	9	5	9	9	4	14	5	7
2020-11-04	11	6	12	12	8	17	6	9
2020-11-15	13	8	17	13	14	21	9	13
2020-11-25	15	11	21	13	24	26	17	19
2020-12-06	17	13	23	14	33	30	28	26
2020-12-16	21	16	27	19	37	36	41	33
2020-12-27	25	20	32	27	34	45	56	39
2021-01-06	28	22	32	31	26	53	69	42
2021-01-17	27	21	28	30	18	55	74	45
2021-01-27	25	19	22	27	13	52	70	45
2021-02-07	23	17	17	24	11	46	58	39
2021-02-17	18	15	12	22	8	39	43	30
2021-02-28	13	12	7	19	5	32	29	22
2021-03-10	9	8	5	15	4	26	19	17
2021-03-21	7	6	4	12	5	20	14	15
2021-03-31	6	5	3	10	8	14	11	14
2021-04-11	7	5	4	9	11	9	10	13
2021-04-21	8	5	5	9	14	6	7	10
2021-05-02	9	6	6	9	18	4	5	7
