date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-26	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0	0
2020-02-12	0	0	0	0	0	0	0	0
2020-02-13	0	1	3	0	0	0	0	0
2020-02-14	0	4	7	0	0	0	0	0
2020-02-15	0	7	12	0	0	0	0	0
2020-02-16	3	11	17	0	0	0	0	0
2020-02-17	5	15	22	0	0	0	0	0
2020-02-18	7	20	28	0	0	0	0	0
2020-02-19	10	24	34	1	0	0	0	0
2020-02-20	13	30	41	3	0	0	0	0
2020-02-21	17	35	49	5	1	0	0	0
2020-02-22	21	42	57	7	6	0	0	0
2020-02-23	24	48	65	10	11	0	0	0
2020-02-24	29	55	74	12	17	0	1	0
2020-02-25	33	63	84	16	23	10	2	0
2020-02-26	38	70	94	19	30	31	4	0
2020-02-27	44	79	105	23	38	54	5	0
2020-02-28	49	87	116	27	46	80	7	1
2020-02-29	55	97	128	31	55	108	9	9
2020-03-01	61	106	140	36	65	140	11	18
2020-03-02	68	117	153	41	75	175	13	29
2020-03-03	75	127	167	46	87	212	16	40
2020-03-04	82	138	181	52	99	253	18	53
2020-03-05	90	150	195	57	112	298	21	66
2020-03-06	98	161	210	64	126	345	24	81
2020-03-07	106	173	225	70	140	397	27	98
2020-03-08	114	186	240	77	155	451	31	115
2020-03-09	123	198	255	84	171	510	35	134
2020-03-10	132	211	271	92	188	572	39	155
2020-03-11	141	223	286	99	205	637	43	177
2020-03-12	150	236	301	107	223	706	47	200
2020-03-13	159	249	317	115	242	778	51	225
2020-03-14	168	261	331	123	261	854	56	251
2020-03-15	178	274	346	132	280	932	61	279
2020-03-16	187	286	360	140	300	1014	66	308
2020-03-17	196	298	373	149	320	1099	71	338
2020-03-18	205	309	386	157	340	1186	76	370
2020-03-19	213	321	398	166	360	1275	81	402
2020-03-20	222	331	410	174	379	1366	87	436
2020-03-21	230	342	420	182	398	1459	92	472
2020-03-22	238	351	429	190	417	1553	98	508
2020-03-23	245	360	437	197	434	1648	103	545
2020-03-24	251	369	443	204	450	1744	108	583
2020-03-25	258	376	449	211	465	1839	113	621
2020-03-26	263	383	453	217	479	1935	119	660
2020-03-27	268	389	456	223	492	2030	124	700
2020-03-28	273	395	458	228	504	2123	129	740
2020-03-29	277	400	459	232	514	2215	134	779
2020-03-30	281	404	459	237	524	2305	139	819
2020-03-31	284	407	458	240	532	2392	143	859
2020-04-01	286	410	456	243	538	2476	148	898
2020-04-02	288	412	453	245	543	2556	152	937
2020-04-03	290	413	449	247	547	2632	157	976
2020-04-04	291	414	445	248	550	2704	161	1013
2020-04-05	291	413	439	248	550	2771	165	1050
2020-04-06	291	412	433	248	550	2832	169	1086
2020-04-07	290	410	425	247	548	2888	173	1120
2020-04-08	289	407	418	245	544	2938	177	1154
2020-04-09	287	404	409	243	539	2982	180	1186
2020-04-10	285	401	401	241	534	3019	184	1218
2020-04-11	283	396	391	238	527	3049	187	1248
2020-04-12	280	392	382	235	519	3072	191	1277
2020-04-13	278	387	373	231	511	3088	194	1305
2020-04-14	275	382	363	228	502	3097	197	1331
2020-04-15	272	376	353	224	492	3098	201	1356
2020-04-16	269	370	343	220	482	3093	204	1380
2020-04-17	266	364	334	216	471	3081	207	1402
2020-04-18	262	358	324	212	460	3062	210	1423
2020-04-19	259	351	314	208	449	3036	213	1442
2020-04-20	256	344	305	204	437	3003	216	1460
2020-04-21	252	337	295	200	425	2965	219	1476
2020-04-22	249	330	286	196	413	2921	222	1490
2020-04-23	246	323	277	193	401	2871	224	1502
2020-04-24	243	316	268	189	389	2817	227	1513
2020-04-25	239	308	259	185	377	2758	229	1522
2020-04-26	236	301	250	181	365	2695	231	1529
2020-04-27	233	293	241	177	353	2628	233	1534
2020-04-28	230	286	233	174	341	2558	235	1538
2020-04-29	227	279	224	170	329	2486	237	1539
2020-04-30	225	271	216	167	317	2411	239	1539
2020-05-01	222	264	209	163	306	2335	241	1536
2020-05-02	220	256	201	160	295	2257	242	1531
2020-05-03	218	249	193	157	284	2177	243	1525
2020-05-04	216	242	186	153	274	2098	245	1516
2020-05-05	214	235	179	150	264	2018	246	1505
2020-05-06	213	229	173	148	254	1938	247	1493
2020-05-07	211	222	166	145	244	1858	248	1478
2020-05-08	210	216	160	142	235	1779	248	1462
2020-05-09	209	209	154	140	226	1700	249	1444
2020-05-10	209	204	149	137	218	1623	250	1425
2020-05-11	209	198	143	135	210	1547	251	1405
2020-05-12	209	193	138	133	202	1473	252	1384
2020-05-13	209	187	134	132	194	1400	252	1361
2020-05-14	210	183	130	130	187	1330	253	1337
2020-05-15	211	178	126	129	180	1261	254	1312
2020-05-16	213	174	122	128	173	1194	256	1286
2020-05-17	215	171	119	127	167	1129	257	1260
2020-05-18	217	168	116	126	161	1067	259	1232
2020-05-19	220	165	113	125	156	1007	261	1204
2020-05-20	223	163	111	125	150	950	263	1175
2020-05-21	226	161	109	125	145	895	266	1146
2020-05-22	230	160	108	125	141	842	269	1116
2020-05-23	234	159	107	125	136	792	272	1086
2020-05-24	239	159	106	126	132	744	276	1055
2020-05-25	243	159	106	126	129	699	281	1025
2020-05-26	248	159	106	127	125	656	286	994
2020-05-27	253	160	107	128	123	616	292	964
2020-05-28	258	161	108	129	120	578	298	933
2020-05-29	264	163	109	130	118	542	305	903
2020-05-30	269	165	110	132	116	509	313	873
2020-05-31	275	168	113	134	115	477	322	844
2020-06-01	282	171	115	136	114	448	331	815
2020-06-02	288	174	118	138	114	421	341	786
2020-06-03	295	178	121	141	114	396	352	758
2020-06-04	302	182	125	145	115	373	363	731
2020-06-05	310	187	129	149	116	352	376	704
2020-06-06	317	192	133	153	118	332	389	679
2020-06-07	325	198	138	158	120	315	403	654
2020-06-08	334	204	143	163	123	299	418	631
2020-06-09	342	210	148	169	127	284	433	608
2020-06-10	351	217	154	175	131	272	450	587
2020-06-11	361	225	161	182	136	260	467	567
2020-06-12	370	232	167	190	141	251	485	548
2020-06-13	380	241	174	198	147	242	504	530
2020-06-14	390	249	181	206	153	235	524	514
2020-06-15	401	258	189	215	160	229	544	499
2020-06-16	411	267	197	225	168	224	564	485
2020-06-17	422	277	205	235	175	221	585	473
2020-06-18	433	286	214	246	184	218	606	462
2020-06-19	445	296	222	257	192	216	628	453
2020-06-20	456	306	231	269	201	216	649	445
2020-06-21	468	317	240	281	211	216	671	439
2020-06-22	480	327	249	293	221	217	692	434
2020-06-23	492	337	258	306	231	219	713	430
2020-06-24	505	347	267	320	241	221	734	428
2020-06-25	517	357	276	334	252	224	754	427
2020-06-26	529	367	286	348	263	228	774	427
2020-06-27	541	377	295	362	274	233	793	429
2020-06-28	554	386	304	376	284	238	812	431
2020-06-29	566	396	313	391	295	243	830	435
2020-06-30	577	405	322	405	305	249	847	439
2020-07-01	589	414	330	420	316	255	863	444
2020-07-02	600	423	339	435	326	262	878	451
2020-07-03	611	432	348	450	335	269	892	457
2020-07-04	622	440	356	465	344	276	905	465
2020-07-05	632	448	364	479	353	284	917	473
2020-07-06	642	456	371	494	361	292	927	481
2020-07-07	652	463	379	508	368	299	936	490
2020-07-08	660	470	386	522	375	308	943	500
2020-07-09	669	477	392	535	381	316	950	509
2020-07-10	676	483	399	548	386	324	955	519
2020-07-11	683	489	404	561	391	333	958	529
2020-07-12	689	494	410	573	394	341	961	539
2020-07-13	694	498	415	584	397	350	962	548
2020-07-14	699	503	419	594	399	359	962	558
2020-07-15	702	506	422	604	400	368	961	567
2020-07-16	705	509	426	612	401	377	959	576
2020-07-17	707	512	428	620	400	387	956	585
2020-07-18	709	514	430	627	400	396	951	593
2020-07-19	709	516	432	633	398	405	947	601
2020-07-20	709	517	433	637	397	415	941	608
2020-07-21	708	518	433	641	395	425	935	614
2020-07-22	706	518	433	643	392	434	928	620
2020-07-23	704	518	433	645	389	444	920	625
2020-07-24	701	517	431	645	386	454	912	630
2020-07-25	697	517	430	644	383	463	904	634
2020-07-26	693	516	428	642	380	473	895	638
2020-07-27	688	514	425	640	377	482	885	641
2020-07-28	683	512	422	636	373	491	875	643
2020-07-29	677	511	419	631	370	500	865	644
2020-07-30	671	508	415	625	366	508	855	645
2020-07-31	664	506	411	619	362	517	845	646
2020-08-01	656	503	407	612	359	525	834	646
2020-08-02	649	500	402	604	355	533	823	645
2020-08-03	641	497	397	595	352	540	813	644
2020-08-04	632	493	392	586	348	548	802	642
2020-08-05	624	490	387	576	345	554	791	640
2020-08-06	615	486	381	566	341	561	781	637
2020-08-07	606	482	376	556	338	567	770	633
2020-08-08	597	477	370	545	335	572	760	630
2020-08-09	588	472	364	534	331	577	750	625
2020-08-10	578	468	358	522	328	582	740	620
2020-08-11	569	463	352	511	326	586	730	615
2020-08-12	560	457	346	499	323	590	721	610
2020-08-13	550	452	340	487	321	593	712	604
2020-08-14	541	446	334	475	319	596	703	598
2020-08-15	532	440	328	464	317	598	695	591
2020-08-16	523	434	322	452	316	600	687	585
2020-08-17	514	428	315	440	315	601	680	578
2020-08-18	505	421	309	429	315	602	673	571
2020-08-19	496	414	303	418	315	603	666	564
2020-08-20	488	407	297	407	316	603	660	557
2020-08-21	480	400	291	397	317	603	654	550
2020-08-22	472	393	285	387	318	603	648	544
2020-08-23	464	386	280	377	320	603	643	537
2020-08-24	457	378	274	368	323	603	638	530
2020-08-25	450	371	269	359	326	603	633	523
2020-08-26	443	364	263	351	330	602	629	517
2020-08-27	437	357	258	344	334	602	625	510
2020-08-28	431	351	253	337	339	602	621	504
2020-08-29	426	344	249	330	344	602	617	498
2020-08-30	421	338	245	324	350	601	613	493
2020-08-31	416	331	241	319	356	602	610	487
2020-09-01	412	326	237	314	363	602	606	482
2020-09-02	408	320	234	310	371	602	603	477
2020-09-03	405	315	231	306	379	603	600	472
2020-09-04	402	310	228	303	387	604	596	468
2020-09-05	399	306	226	301	397	606	593	464
2020-09-06	397	302	225	299	406	607	590	461
2020-09-07	396	298	224	298	417	609	587	458
2020-09-08	395	295	223	297	428	612	583	455
2020-09-09	394	293	223	297	440	615	580	453
2020-09-10	394	291	223	298	453	618	576	451
2020-09-11	395	290	224	299	466	622	573	449
2020-09-12	395	289	226	301	480	626	570	447
2020-09-13	397	289	228	304	495	631	566	446
2020-09-14	398	289	231	307	511	636	563	445
2020-09-15	400	290	234	311	527	642	559	444
2020-09-16	403	291	238	315	545	648	556	443
2020-09-17	406	293	243	320	563	655	553	443
2020-09-18	409	296	248	325	582	662	549	442
2020-09-19	413	300	253	331	602	670	546	442
2020-09-20	417	303	260	338	622	679	543	443
2020-09-21	421	308	267	345	643	689	540	444
2020-09-22	426	313	274	352	665	699	537	445
2020-09-23	431	319	283	360	687	710	534	447
2020-09-24	436	325	292	368	711	722	531	449
2020-09-25	442	333	301	377	735	735	528	451
2020-09-26	448	340	312	386	760	749	525	454
2020-09-27	455	348	323	396	786	764	523	457
2020-09-28	462	357	334	406	812	780	520	461
2020-09-29	470	367	347	417	840	797	518	466
2020-09-30	478	377	360	428	869	815	517	471
2020-10-01	487	388	373	440	899	833	515	476
2020-10-02	497	400	388	453	930	854	515	482
2020-10-03	507	412	403	466	961	875	514	489
2020-10-04	518	426	419	480	994	897	514	496
2020-10-05	530	440	435	494	1027	921	515	503
2020-10-06	543	455	453	510	1062	946	517	512
2020-10-07	556	471	471	526	1097	972	519	521
2020-10-08	571	488	489	542	1133	1000	522	530
2020-10-09	587	507	509	560	1170	1029	526	541
2020-10-10	603	526	529	578	1208	1059	531	552
2020-10-11	621	547	550	598	1247	1091	537	563
2020-10-12	640	569	572	618	1286	1124	544	576
2020-10-13	660	592	594	639	1327	1159	553	589
2020-10-14	682	616	618	661	1368	1195	562	603
2020-10-15	705	642	642	684	1410	1232	573	618
2020-10-16	729	669	667	708	1453	1271	585	634
2020-10-17	754	697	693	733	1496	1310	599	651
2020-10-18	781	726	720	760	1540	1351	614	669
2020-10-19	810	758	748	787	1584	1393	631	688
2020-10-20	840	790	777	816	1630	1435	650	709
2020-10-21	871	824	807	846	1675	1479	670	731
2020-10-22	904	858	838	877	1722	1523	693	754
2020-10-23	939	894	870	909	1769	1569	718	778
2020-10-24	975	932	903	943	1817	1615	745	803
2020-10-25	1013	970	937	978	1866	1662	775	830
2020-10-26	1052	1009	972	1014	1916	1709	807	858
2020-10-27	1092	1049	1007	1051	1966	1757	842	887
2020-10-28	1134	1090	1043	1090	2017	1807	880	917
2020-10-29	1176	1131	1080	1130	2069	1857	921	949
2020-10-30	1220	1173	1118	1170	2120	1907	964	981
2020-10-31	1264	1215	1155	1211	2171	1959	1011	1015
2020-11-01	1309	1257	1193	1253	2222	2011	1060	1049
2020-11-02	1355	1299	1232	1295	2273	2064	1113	1085
2020-11-03	1401	1341	1270	1338	2323	2118	1168	1121
2020-11-04	1447	1383	1309	1381	2372	2173	1227	1158
2020-11-05	1494	1425	1347	1423	2420	2229	1289	1195
2020-11-06	1540	1466	1385	1466	2466	2285	1354	1234
2020-11-07	1586	1506	1423	1509	2512	2342	1422	1272
2020-11-08	1632	1545	1461	1552	2555	2401	1494	1312
2020-11-09	1677	1584	1498	1594	2597	2460	1569	1352
2020-11-10	1722	1621	1535	1635	2636	2520	1648	1392
2020-11-11	1766	1658	1571	1676	2673	2581	1729	1433
2020-11-12	1810	1692	1606	1717	2708	2644	1814	1473
2020-11-13	1852	1726	1641	1756	2740	2708	1902	1514
2020-11-14	1893	1758	1675	1795	2769	2773	1993	1555
2020-11-15	1933	1789	1709	1832	2795	2840	2086	1596
2020-11-16	1972	1818	1741	1869	2817	2909	2182	1636
2020-11-17	2009	1845	1773	1904	2836	2979	2280	1676
2020-11-18	2045	1870	1804	1938	2852	3051	2380	1715
2020-11-19	2079	1893	1834	1970	2864	3125	2483	1755
2020-11-20	2111	1915	1863	2001	2872	3200	2588	1793
2020-11-21	2142	1934	1890	2031	2877	3277	2695	1831
2020-11-22	2170	1951	1916	2059	2879	3356	2804	1868
2020-11-23	2197	1966	1941	2085	2877	3436	2915	1904
2020-11-24	2221	1979	1964	2109	2872	3518	3028	1940
2020-11-25	2244	1990	1985	2131	2863	3600	3142	1975
2020-11-26	2264	1998	2005	2151	2852	3683	3258	2008
2020-11-27	2282	2004	2023	2169	2837	3765	3375	2041
2020-11-28	2297	2008	2039	2185	2820	3847	3494	2072
