width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-3.17857142855365	0.340400325387711
14	state	all	NA	-1	-0.178021978021595	0.83683331998778
21	state	all	NA	1	1.23896103896002	0.118140923302388
28	state	all	NA	1	0.116037219485675	0.806780145611015
35	state	all	NA	-1	-0.0422969187675045	0.890300761634734
42	state	all	NA	-1	-0.117737622558933	0.585183776593329
7	King	all	NA	-1	-2.67857142855655	0.31952266008992
14	King	all	NA	1	0.334065934066208	0.622244199122175
21	King	all	NA	-1	-0.0116883116882547	0.969201359826573
28	King	all	NA	1	0.0221674876847777	0.898079381435956
35	King	all	NA	1	0.0198879551820733	0.857514943074929
42	King	all	NA	1	0.0152337736002152	0.843198183087778
7	Snohomish	all	NA	-1	-0.107142857141976	0.660642155242616
14	Snohomish	all	NA	-1	-0.153846153846213	0.0429642284195822
21	Snohomish	all	NA	1	0.064935064934957	0.352794232305551
28	Snohomish	all	NA	1	0.0320197044335002	0.450815159792518
35	Snohomish	all	NA	1	0.0184873949579832	0.511753038843881
42	Snohomish	all	NA	1	0.00542905761285174	0.786906621933529
7	Pierce	all	NA	1	0.392857142856884	0.264330024480517
14	Pierce	all	NA	1	0.0373626373627126	0.757046216823598
21	Pierce	all	NA	1	0.823376623376114	0.0592014345700394
28	Pierce	all	NA	1	0.159277504105156	0.535596187086044
35	Pierce	all	NA	-1	-0.035014005602239	0.833583020604501
42	Pierce	all	NA	-1	-0.0710639332307181	0.539192345649854
7	Ann Arbor	all	NA	1	0.0714285714276385	0.62981187119629
14	Ann Arbor	all	NA	1	0.0087912087912071	0.815211692452279
21	Ann Arbor	all	NA	-1	-0.0207792207792136	0.296302369345916
28	Ann Arbor	all	NA	-1	-0.011220580186102	0.364492192648893
35	Ann Arbor	all	NA	-1	-0.0198879551820728	0.0251909577474397
42	Ann Arbor	all	NA	-1	-0.0205007697917535	0.0134958015038219
7	Boston	all	NA	1	0.107142857142494	0.143810808712225
14	Boston	all	NA	1	0.0109890109890068	0.713351452378205
21	Boston	all	NA	-1	-0.0116883116883224	0.576239784709483
28	Boston	all	NA	-1	-0.0158730158730223	0.363143237016924
35	Boston	all	NA	-1	-0.0140056022408967	0.261410454133093
42	Boston	all	NA	1	0.000486184263832907	0.958552371017614
7	San Diego	all	NA	-1	-0.42857142856863	0.331826821216539
14	San Diego	all	NA	1	0.0703296703296822	0.526482577028065
21	San Diego	all	NA	1	0.0103896103895989	0.840062960787423
28	San Diego	all	NA	-1	-0.0153256704980947	0.643876504508462
35	San Diego	all	NA	-1	-0.0070028011204478	0.751785621594765
42	San Diego	all	NA	-1	-0.0145855279150946	0.405558277190165
7	DC	all	NA	0	0	NA
14	DC	all	NA	-1	-0.0593406593407177	0.02866493405392
21	DC	all	NA	-1	-0.0246753246753191	0.118946761470282
28	DC	all	NA	-1	-0.0287356321839006	0.0219062337107873
35	DC	all	NA	-1	-0.0145658263305325	0.101088828944228
42	DC	all	NA	-1	-0.0235799367960597	0.010388823041289
