width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-74.785714285578	0.046979663588182
14	state	all	NA	-1	-40.7648351648079	0.00713435700731791
21	state	all	NA	-1	-18.5753246753244	0.0218317689277671
28	state	all	NA	-1	-23.4359605911404	0.00152731754796714
35	state	all	NA	-1	-16.9747899159673	0.00509689383106071
42	state	all	NA	-1	-19.1640871890504	0.000490703343688608
7	King	all	NA	-1	-10.1071428571166	0.22773735312939
14	King	all	NA	-1	-11.7912087911978	0.0746524871789798
21	King	all	NA	-1	-3.75324675324667	0.22258751589483
28	King	all	NA	-1	-10.1770662287957	0.057041169390423
35	King	all	NA	-1	-2.16806722689111	0.63385797615892
42	King	all	NA	-1	-2.50498338870564	0.433351154206766
7	Snohomish	all	NA	-1	-10.1785714285536	0.018291335129371
14	Snohomish	all	NA	-1	-2.92747252747133	0.0611966093048689
21	Snohomish	all	NA	-1	-1.10779220779218	0.158774207725353
28	Snohomish	all	NA	-1	-0.832785987958419	0.115192005859601
35	Snohomish	all	NA	-1	-1.05574229691879	0.00932577527225491
42	Snohomish	all	NA	-1	-1.16181832914706	0.00302462090251631
7	Pierce	all	NA	-1	-5.67857142856087	0.110676548008273
14	Pierce	all	NA	-1	-4.33626373626169	0.00636556845721263
21	Pierce	all	NA	-1	-1.64155844155841	0.0566607610821002
28	Pierce	all	NA	-1	-2.02162014231019	0.00154343901297953
35	Pierce	all	NA	-1	-2.81680672268943	2.56147344489854e-05
42	Pierce	all	NA	-1	-4.78340491046211	1.36052337546835e-05
7	Ann Arbor	all	NA	-1	-0.749999999998663	0.0654940628140131
14	Ann Arbor	all	NA	-1	-0.145054945054624	0.553579447265565
21	Ann Arbor	all	NA	-1	-0.171428571428571	0.26263891149485
28	Ann Arbor	all	NA	-1	-0.149151614668869	0.115911060626014
35	Ann Arbor	all	NA	-1	-0.133053221288535	0.0495521130528001
42	Ann Arbor	all	NA	-1	-0.198201118223698	0.00274539661644051
7	Boston	all	NA	-1	-1.9642857142811	0.100345585909752
14	Boston	all	NA	-1	-0.646153846153338	0.0463345131528575
21	Boston	all	NA	-1	-0.23376623376623	0.141504194704985
28	Boston	all	NA	-1	-0.281609195402462	0.0359460416410453
35	Boston	all	NA	-1	-0.560504201680609	6.05659402307434e-05
42	Boston	all	NA	-1	-0.634146341463765	1.24129123036619e-05
7	San Diego	all	NA	-1	-14.8214285714109	0.117677287820502
14	San Diego	all	NA	-1	-6.77802197801743	0.0160723159979941
21	San Diego	all	NA	-1	-2.40519480519475	0.139345928180621
28	San Diego	all	NA	-1	-1.3111658456492	0.193214489864908
35	San Diego	all	NA	-1	-0.959383753501112	0.161274768766742
42	San Diego	all	NA	-1	-0.716635604894655	0.141155705067929
7	DC	all	NA	-1	-2.32142857142614	0.0573323670618375
14	DC	all	NA	-1	-0.624175824175619	0.26624128405805
21	DC	all	NA	-1	-0.235064935064935	0.404631322870538
28	DC	all	NA	-1	-0.266009852216894	0.161872881362148
35	DC	all	NA	-1	-0.769747899160013	0.0107052873935909
42	DC	all	NA	-1	-0.588445020662801	0.012542961219441
