date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-22	0	0	0	0	0	0	0	0
2020-01-23	0	0	0	0	0	0	0	0
2020-01-24	0	0	0	0	0	0	0	0
2020-01-25	0	0	0	0	0	0	0	0
2020-01-26	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	1	0	0
2020-01-30	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0	0
2020-02-12	0	0	0	0	0	0	0	0
2020-02-13	0	0	0	0	0	0	0	0
2020-02-14	0	0	0	0	0	0	0	0
2020-02-15	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0
2020-02-17	0	0	0	0	0	0	0	0
2020-02-18	0	0	0	0	0	0	0	0
2020-02-19	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0
2020-02-25	0	0	0	0	0	0	0	0
2020-02-26	0	0	0	0	0	0	0	0
2020-02-27	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0
2020-02-29	1	2	1	0	0	0	0	0
2020-03-01	1	1	1	0	0	0	0	0
2020-03-02	1	2	2	0	0	0	0	0
2020-03-03	1	3	2	0	0	0	0	0
2020-03-04	2	4	2	0	0	2	0	0
2020-03-05	4	9	12	0	0	1	0	0
2020-03-06	1	3	1	0	0	6	0	0
2020-03-07	3	6	10	1	0	10	0	0
2020-03-08	3	5	5	3	0	4	0	0
2020-03-09	0	0	0	0	0	0	0	0
2020-03-10	5	15	7	0	0	2	0	0
2020-03-11	16	33	38	11	0	6	0	0
2020-03-12	16	36	49	3	0	6	1	0
2020-03-13	13	26	30	2	11	16	1	0
2020-03-14	13	26	26	8	0	17	1	0
2020-03-15	0	0	0	0	3	19	2	0
2020-03-16	23	45	56	13	11	53	12	31
2020-03-17	23	36	80	8	0	66	0	0
2020-03-18	9	-3	54	12	0	72	1	13
2020-03-19	26	58	46	21	22	75	6	13
2020-03-20	22	44	45	9	5	100	14	44
2020-03-21	33	63	75	13	38	76	0	38
2020-03-22	24	47	40	13	22	60	8	6
2020-03-23	32	58	47	21	22	141	14	26
2020-03-24	18	0	116	13	24	154	7	30
2020-03-25	43	84	24	19	68	182	4	65
2020-03-26	79	97	175	34	57	211	16	62
2020-03-27	36	0	163	50	166	216	14	57
2020-03-28	81	222	1	0	98	190	22	47
2020-03-29	41	36	-1	95	139	147	21	54
2020-03-30	41	1	190	0	103	281	9	84
2020-03-31	67	75	196	66	109	331	26	133
2020-04-01	19	0	91	0	272	358	39	129
2020-04-02	97	145	88	134	112	343	35	95
2020-04-03	39	58	0	81	114	494	35	147
2020-04-04	55	49	154	54	82	260	44	205
2020-04-05	69	119	68	75	60	315	29	142
2020-04-06	49	73	54	32	71	514	35	135
2020-04-07	46	69	68	48	73	500	23	162
2020-04-08	45	90	44	39	152	514	15	324
2020-04-09	58	88	61	48	92	550	23	118
2020-04-10	54	103	69	41	73	494	29	194
2020-04-11	49	64	40	52	84	327	19	167
2020-04-12	38	73	39	10	84	254	20	137
2020-04-13	18	0	49	42	54	600	13	113
2020-04-14	39	55	52	0	109	721	13	146
2020-04-15	32	32	46	34	82	585	25	197
2020-04-16	30	34	54	24	76	597	25	217
2020-04-17	52	91	29	71	82	807	22	179
2020-04-18	20	0	45	0	46	341	21	269
2020-04-19	64	121	61	63	5	310	16	180
2020-04-20	18	0	24	50	33	669	16	190
2020-04-21	37	53	32	34	65	639	17	242
2020-04-22	27	38	24	19	33	668	50	153
2020-04-23	24	68	9	-49	139	644	46	220
2020-04-24	34	47	33	22	46	614	55	237
2020-04-25	40	45	66	25	76	332	35	242
2020-04-26	28	55	17	10	0	187	0	201
2020-04-27	24	36	26	21	14	425	30	72
2020-04-28	24	25	40	33	79	485	29	145
2020-04-29	30	45	29	14	46	448	87	159
2020-04-30	36	46	54	18	79	433	0	307
2020-05-01	38	30	24	19	46	383	40	475
2020-05-02	45	34	49	41	30	204	44	197
2020-05-03	29	44	19	19	33	193	65	310
2020-05-04	38	43	34	23	24	361	0	218
2020-05-05	19	34	15	21	14	350	28	215
2020-05-06	38	37	43	23	19	358	90	197
2020-05-07	44	47	52	46	30	321	0	273
2020-05-08	19	24	9	15	60	240	33	347
2020-05-09	39	37	36	32	46	129	70	288
2020-05-10	31	27	21	25	19	75	34	241
2020-05-11	31	27	11	22	44	209	87	166
2020-05-12	25	31	26	12	44	241	29	136
2020-05-13	22	33	11	12	22	206	0	140
2020-05-14	29	35	23	24	68	184	69	215
2020-05-15	21	16	21	11	16	193	0	191
2020-05-16	46	45	21	20	14	109	81	242
2020-05-17	20	20	13	29	5	60	52	115
2020-05-18	30	19	16	8	14	164	0	208
2020-05-19	27	22	26	19	19	168	57	232
2020-05-20	22	16	10	13	27	148	34	166
2020-05-21	17	12	24	3	30	148	0	336
2020-05-22	20	17	21	10	41	129	52	149
2020-05-23	0	0	0	0	22	82	73	103
2020-05-24	72	51	39	31	38	47	0	204
2020-05-25	32	19	11	7	11	36	43	163
2020-05-26	17	4	15	4	30	148	29	154
2020-05-27	29	12	13	99	22	104	25	102
2020-05-28	47	27	12	31	22	103	65	122
2020-05-29	40	12	10	28	27	75	0	65
2020-05-30	36	20	13	14	35	52	85	254
2020-05-31	45	44	13	17	14	26	29	119
2020-06-01	78	67	19	31	14	86	0	79
2020-06-02	36	20	11	18	16	85	22	41
2020-06-03	33	22	12	27	11	52	36	184
2020-06-04	34	21	15	20	16	97	37	147
2020-06-05	60	24	15	10	19	47	43	112
2020-06-06	37	18	7	22	11	47	121	99
2020-06-07	41	16	2	10	0	20	0	89
2020-06-08	39	13	30	14	14	70	82	81
2020-06-09	33	9	26	8	3	71	0	120
2020-06-10	34	9	7	4	0	39	65	89
2020-06-11	37	20	30	18	49	50	48	74
2020-06-12	48	35	24	14	-24	53	0	92
2020-06-13	37	17	9	23	19	21	95	78
2020-06-14	44	28	23	14	5	9	38	82
2020-06-15	49	24	13	21	5	45	51	45
2020-06-16	34	14	19	19	35	44	36	27
2020-06-17	53	40	19	22	22	50	0	41
2020-06-18	54	32	19	34	16	37	108	79
2020-06-19	80	42	23	40	16	32	77	69
2020-06-20	59	27	10	20	22	24	40	45
2020-06-21	26	15	19	12	8	7	93	51
2020-06-22	68	55	94	27	19	52	90	54
2020-06-23	63	36	22	48	16	39	59	51
2020-06-24	65	53	32	42	14	40	99	48
