width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	4.99873589739801	5.01854797201613e-08
6	state	all	NA	1	4.99179420743824	4.38676998509227e-13
8	state	all	NA	1	4.98066760282534	2.99652485754681e-17
4	King	all	NA	1	0.735703757409262	1.84060218158557e-07
6	King	all	NA	1	0.734540844951238	6.75363035764079e-13
8	King	all	NA	1	0.733179358890835	1.12579151932295e-17
4	Snohomish	all	NA	1	0.159350555602845	6.94892348904022e-09
6	Snohomish	all	NA	1	0.159409427023332	2.0488493001514e-15
8	Snohomish	all	NA	1	0.15948874459101	3.8529604440022e-21
4	Pierce	all	NA	1	0.390095455567985	8.22574967531291e-06
6	Pierce	all	NA	1	0.393816594971607	8.50997993583393e-10
8	Pierce	all	NA	1	0.397757752632747	2.80246930948817e-13
4	Ann Arbor	all	NA	-1	-0.0156480561287534	4.07536069306857e-05
6	Ann Arbor	all	NA	-1	-0.0152872379291912	3.32859434766268e-08
8	Ann Arbor	all	NA	-1	-0.0148723310757871	1.30762450823245e-10
4	Boston	all	NA	-1	-0.00194620484730992	0.0112934389532894
6	Boston	all	NA	-1	-0.00122334107608972	0.00979788620242168
8	Boston	all	NA	-1	-0.000424421712370531	0.23477795356901
4	San Diego	all	NA	1	0.504950838345169	3.54352586016558e-06
6	San Diego	all	NA	1	0.508726627424976	3.28948468119219e-10
8	San Diego	all	NA	1	0.513432335659829	1.56711339571486e-13
4	DC	all	NA	1	0.0290397612669617	6.9152790334254e-07
6	DC	all	NA	1	0.0292918393482382	7.17793616872311e-10
8	DC	all	NA	1	0.0297699743406596	4.03422359491265e-12
