width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-9.32142857141605	0.0938899592590757
14	state	all	NA	-1	-1.71868131868429	0.362291270493045
21	state	all	NA	-1	-0.86103896103896	0.391991311699841
28	state	all	NA	-1	-0.513957307060714	0.427550901380332
35	state	all	NA	1	0.152100840336085	0.739257232258789
42	state	all	NA	1	0.364638197876914	0.269243473285829
7	King	all	NA	-1	-0.785714285713412	0.270810719553368
14	King	all	NA	1	0.13406593406562	0.543351572231538
21	King	all	NA	-1	-0.0532467532467574	0.692709594347363
28	King	all	NA	-1	-0.0987958401751742	0.291698474281623
35	King	all	NA	-1	-0.0128851540616109	0.841490846815029
42	King	all	NA	-1	-0.00623936471923274	0.897234023346388
7	Snohomish	all	NA	-1	-0.321428571428271	0.32163910048469
14	Snohomish	all	NA	-1	-0.0285714285716099	0.793251604697291
21	Snohomish	all	NA	-1	-0.0363636363636359	0.518939771691214
28	Snohomish	all	NA	-1	-0.00930487137381429	0.824074766778885
35	Snohomish	all	NA	1	0.0123249299719896	0.668772696978101
42	Snohomish	all	NA	1	0.0116684223320532	0.572242745129511
7	Pierce	all	NA	-1	-0.82142857142658	0.128500557150109
14	Pierce	all	NA	-1	-0.043956043955763	0.795722535990422
21	Pierce	all	NA	-1	-0.0402597402597427	0.642491943117046
28	Pierce	all	NA	-1	-0.0287356321838673	0.640288983283912
35	Pierce	all	NA	-1	-0.0263305322128745	0.568008499985255
42	Pierce	all	NA	-1	-0.00332225913621795	0.920831022917237
7	Ann Arbor	all	NA	-1	-0.142857142856706	0.363217467650129
14	Ann Arbor	all	NA	-1	-0.070329670329936	0.274610129374274
21	Ann Arbor	all	NA	1	0.0155844155844156	0.603891557350605
28	Ann Arbor	all	NA	1	0.0224411603722108	0.214767774415831
35	Ann Arbor	all	NA	1	0.0148459383753487	0.210182028754012
42	Ann Arbor	all	NA	1	0.0108581152256694	0.196822352930364
7	Boston	all	NA	-1	-0.428571428571047	0.025031015818385
14	Boston	all	NA	1	0.0175824175822796	0.809730536051603
21	Boston	all	NA	1	0.0103896103896101	0.762957650015922
28	Boston	all	NA	1	0.0284619594964193	0.169098723861005
35	Boston	all	NA	1	0.0198879551820732	0.183728624911534
42	Boston	all	NA	1	0.0170974799448936	0.111055352379373
7	San Diego	all	NA	-1	-0.321428571425872	0.793636731679688
14	San Diego	all	NA	-1	-0.380219780219553	0.26088265048017
21	San Diego	all	NA	-1	-0.241558441558436	0.194347104644326
28	San Diego	all	NA	-1	-0.0530925013681894	0.690666988980259
35	San Diego	all	NA	-1	-0.0140056022408776	0.886935719116789
42	San Diego	all	NA	1	0.000486184263850951	0.994479616914846
7	DC	all	NA	1	0.214285714285441	0.28217985903012
14	DC	all	NA	1	0.0351648351649935	0.554842842294268
21	DC	all	NA	1	0.00519480519480368	0.886697379848246
28	DC	all	NA	1	0.00766283524902727	0.716855781498722
35	DC	all	NA	1	0.00644257703080853	0.64442002513659
42	DC	all	NA	1	0.00267401345110035	0.810708761444342
