width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-105.379514476608	2.47867385074091e-07
6	state	all	NA	-1	-105.153573206963	2.33709262898175e-12
8	state	all	NA	-1	-104.854926495286	1.37090894078099e-16
10	state	all	NA	-1	-104.483574342167	2.8760610411329e-20
12	state	all	NA	-1	-104.039516747028	1.61489490649351e-23
4	King	all	NA	-1	-34.1268879683382	1.72058254644541e-07
6	King	all	NA	-1	-34.0584638824671	1.82096123416759e-12
8	King	all	NA	-1	-33.9612615584644	1.37140283951503e-16
10	King	all	NA	-1	-33.8352809965218	3.91652588896789e-20
12	King	all	NA	-1	-33.6805221964515	3.09116100539985e-23
4	Snohomish	all	NA	-1	-12.6168630518761	2.30187328543881e-08
6	Snohomish	all	NA	-1	-12.601880798419	2.45933359384602e-13
8	Snohomish	all	NA	-1	-12.5757419848792	1.91443281665851e-17
10	Snohomish	all	NA	-1	-12.5384466113276	5.75625511677537e-21
12	Snohomish	all	NA	-1	-12.4899946776949	4.82510234955662e-24
4	Pierce	all	NA	-1	-6.94266621377618	8.73049729486442e-07
6	Pierce	all	NA	-1	-6.92019039399852	1.1904094067171e-11
8	Pierce	all	NA	-1	-6.89535448990237	6.24720206739346e-16
10	Pierce	all	NA	-1	-6.8681585015267	8.68727906461836e-20
12	Pierce	all	NA	-1	-6.83860242883333	2.63501254750281e-23
4	Ann Arbor	all	NA	-1	-8.10977502614515	2.81253106779045e-08
6	Ann Arbor	all	NA	-1	-8.1176873240181	1.04526230367595e-13
8	Ann Arbor	all	NA	-1	-8.13002926003707	2.96935219684616e-18
10	Ann Arbor	all	NA	-1	-8.14680083424777	3.20915213926265e-22
12	Ann Arbor	all	NA	-1	-8.1680020466055	9.37488925395915e-26
4	Boston	all	NA	1	7.84917091624352	1.06755850082198e-05
6	Boston	all	NA	1	7.75276882219435	2.57476493053583e-09
8	Boston	all	NA	1	7.63791724147449	3.13696196289184e-12
10	Boston	all	NA	1	7.50461617412717	1.26177299457158e-14
12	Boston	all	NA	1	7.35286562010983	1.34220716025583e-16
4	San Diego	all	NA	-1	-31.9688049884885	4.43338757122823e-07
6	San Diego	all	NA	-1	-32.0666254461484	9.59505886523294e-12
8	San Diego	all	NA	-1	-32.2014813417948	1.36089376075374e-15
10	San Diego	all	NA	-1	-32.3733726756083	6.86453226005105e-19
12	San Diego	all	NA	-1	-32.5822994474118	8.95792045139343e-22
4	DC	all	NA	-1	-2.62742555693978	4.6890669614096e-05
6	DC	all	NA	-1	-2.69542725490894	4.36365048679306e-08
8	DC	all	NA	-1	-2.77682035709607	1.71331293414064e-10
10	DC	all	NA	-1	-2.87160486351634	1.77539195441098e-12
12	DC	all	NA	-1	-2.97978077415483	3.73841422181745e-14
4	USA	all	NA	-1	-4735.12943900251	5.3150966259574e-08
6	USA	all	NA	-1	-4743.46991841358	1.17069161866488e-12
8	USA	all	NA	-1	-4757.90716170282	1.85539301119624e-16
10	USA	all	NA	-1	-4778.44116889691	1.09606800422942e-19
12	USA	all	NA	-1	-4805.07193996974	1.7172135921072e-22
