date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0.0688911991772239	0	0	0	0	0	0	0
2020-02-11	0	0.367269479264569	0	0	0	0	0	0	0
2020-02-12	0.0541584246240922	0.672847930301835	0	0	0	0	0	0	0
2020-02-13	0.203042416414744	0.986187701581974	0.146881360473255	0	0	0	0	0	0
2020-02-14	0.356509557410404	1.30784994239793	0.334351741282362	0	0	0	0	0	0
2020-02-15	0.514874257115166	1.63839580204266	0.528046866180972	0	0	0	0	0	0
2020-02-16	0.67845092503313	1.9783864298091	0.728367547197413	0	0	0	0	0	0
2020-02-17	0.847532739719581	2.32832085927066	0.93569254176254	0	0	0	0	0	0
2020-02-18	1.02232795593456	2.6884496611225	1.15031238891732	0.00470461845467482	0	0	0	0	0
2020-02-19	1.20302359748931	3.05896129034025	1.37249557310525	0.069881297972825	0	0	0	0	0
2020-02-20	1.38980668819505	3.44004420189954	1.60251057876981	0.138428000799487	0	0	0	0	0
2020-02-21	1.58286425186303	3.83188685077597	1.84062589035452	0.210531474281832	0	0	0	0	0
2020-02-22	1.78238331230447	4.23467769194518	2.08710999230286	0.286378465767033	0	0	0	0	0.154572992394574
2020-02-23	1.9885508933306	4.64860518038279	2.34223136905833	0.366155722602261	0	0	0	0	0.3746851508588
2020-02-24	2.20155401875266	5.07385777106441	2.60625850506442	0.450049992134688	0.0628780489442869	0	0	0	0.608439412086662
2020-02-25	2.42157971238189	5.51062391896567	2.87945988476463	0.538248021711488	0.239174590639604	0	0	0	0.856521911840127
