width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-4.34285714285714	0.119192018769969
6	state	all	NA	-1	-1.62857142857179	0.206446102569138
8	state	all	NA	-1	-1.22789115646248	0.0865477809588443
10	state	all	NA	-1	-0.949783549783549	0.0384980101410501
12	state	all	NA	-1	-0.877622377622475	0.00743006199744653
4	King	all	NA	-1	-0.685714285714286	0.0992960499510381
6	King	all	NA	-1	-0.25306122448983	0.224162854167969
8	King	all	NA	-1	-0.154761904761894	0.172832784280412
10	King	all	NA	-1	-0.216450216450216	0.01185226262553
12	King	all	NA	-1	-0.225774225774228	0.0050549387304003
4	Snohomish	all	NA	-1	-0.457142857142857	0.0171278130656781
6	Snohomish	all	NA	-1	-0.159183673469423	0.180479304993567
8	Snohomish	all	NA	-1	-0.107142857142846	0.109666233472485
10	Snohomish	all	NA	-1	-0.115151515151515	0.0212143076378739
12	Snohomish	all	NA	-1	-0.112887112887115	0.0093460816876788
4	Pierce	all	NA	-1	-0.357142857142857	0.406609170903073
6	Pierce	all	NA	-1	-0.224489795918413	0.209898244037311
8	Pierce	all	NA	-1	-0.119047619047607	0.223178112053796
10	Pierce	all	NA	-1	-0.150649350649351	0.0266107376119188
12	Pierce	all	NA	-1	-0.096903096903118	0.0526265326353216
4	Ann Arbor	all	NA	-1	-0.0142857142857143	0.945364163529185
6	Ann Arbor	all	NA	1	0.0244897959183773	0.778943859614703
8	Ann Arbor	all	NA	-1	-0.00340136054421844	0.940982098296283
10	Ann Arbor	all	NA	-1	-0.019047619047619	0.573838710309455
12	Ann Arbor	all	NA	1	0.00349650349649771	0.890344020387679
4	Boston	all	NA	-1	-0.128571428571429	0.595480082522055
6	Boston	all	NA	1	0.0163265306122442	0.867933698235154
8	Boston	all	NA	1	0.0646258503401357	0.260404767436858
10	Boston	all	NA	1	0.025974025974026	0.599185593551063
12	Boston	all	NA	1	0.0349650349650421	0.333893136450606
4	San Diego	all	NA	-1	-0.3	0.327461754018634
6	San Diego	all	NA	-1	-0.0244897959183839	0.853176378977474
8	San Diego	all	NA	-1	-0.02551020408163	0.711810070109062
10	San Diego	all	NA	1	0.0363636363636364	0.463811898844495
12	San Diego	all	NA	1	0.0354645354645449	0.335536715921443
4	DC	all	NA	-1	-0.0571428571428572	0.783069542181344
6	DC	all	NA	-1	-0.0367346938775431	0.706804119400664
8	DC	all	NA	1	0.035714285714286	0.534262412449457
10	DC	all	NA	-1	-0.0259740259740261	0.631305262840208
12	DC	all	NA	1	0.00449550449550016	0.906114170121705
4	USA	all	NA	1	8.11428571428572	0.705424144732222
6	USA	all	NA	-1	-7.53061224489777	0.438166909788161
8	USA	all	NA	-1	-9.35034013605367	0.110969158911902
10	USA	all	NA	-1	-14.5619047619047	0.00404276143490391
12	USA	all	NA	-1	-14.0209790209804	0.000220109548078084
