width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	2.97142857142857	0.952945078203407
6	state	all	NA	-1	-44.0571428571409	0.123751390205965
8	state	all	NA	-1	-28.2431972789083	0.0984870255699866
10	state	all	NA	-1	-6.77662337662335	0.587593736777036
12	state	all	NA	1	7.54045954045816	0.455997340431888
4	Island	all	NA	-1	-0.9	0.010661021039924
6	Island	all	NA	-1	-1.59999999999995	0.0147471968754371
8	Island	all	NA	-1	-0.534013605442103	0.25182889807438
10	Island	all	NA	-1	-0.0770562770562764	0.81028504378543
12	Island	all	NA	1	0.11888111888109	0.609503326910127
4	King	all	NA	-1	-0.957142857142857	0.963033913098481
6	King	all	NA	-1	-9.40408163265274	0.273895194840323
8	King	all	NA	-1	-5.56292517006749	0.228145323925562
10	King	all	NA	1	0.686580086580098	0.856740090986805
12	King	all	NA	1	4.17332667332664	0.168921888360701
4	Ann Arbor	all	NA	1	28.6857142857143	0.233214601917263
6	Ann Arbor	all	NA	1	9.96326530612144	0.322363556108947
8	Ann Arbor	all	NA	1	6.94897959183635	0.201049481927089
10	Ann Arbor	all	NA	1	3.54718614718614	0.318648743449668
12	Ann Arbor	all	NA	1	2.72227772227806	0.261471416111133
4	Boston	all	NA	-1	-5.34285714285714	0.695999253059102
6	Boston	all	NA	-1	-2.63673469387716	0.60687073500097
8	Boston	all	NA	1	5.04591836734717	0.239181437105206
10	Boston	all	NA	1	9.48311688311688	0.0108215778097104
12	Boston	all	NA	1	8.33266733266823	0.00192762522617095
4	San Diego	all	NA	-1	-103.128571428571	0.259432186973173
6	San Diego	all	NA	-1	-64.2285714285658	0.0832059313680074
8	San Diego	all	NA	-1	-36.7687074829878	0.154597160471371
10	San Diego	all	NA	1	14.1151515151516	0.55701751834703
12	San Diego	all	NA	1	31.5749250749258	0.0916643692808697
4	DC	all	NA	1	13.5285714285714	0.746832480970812
6	DC	all	NA	1	0.502040816326478	0.974304436717705
8	DC	all	NA	1	5.02721088435373	0.54790852488507
10	DC	all	NA	1	4.3974025974026	0.405051291537159
12	DC	all	NA	1	3.81218781218815	0.290245390141057
4	USA	all	NA	-1	-3350.31428571429	0.554984579072028
6	USA	all	NA	-1	-3390.60816326506	0.133838495306636
8	USA	all	NA	-1	-1367.36054421749	0.299597506344789
10	USA	all	NA	1	1206.04675324675	0.355013530663663
12	USA	all	NA	1	1940.8456543458	0.0541362152890565
