date	state	Island	King	Ann Arbor	Boston	San Diego	DC	USA
2020-01-22	0	0	0	0	0	0	0	0.00304655573119389
2020-01-23	0	0	0	0	0	0	0	0
2020-01-24	0	0	0	0	0	0	0	0
2020-01-25	0	0	0	0	0	0	0	0
2020-01-26	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0	0
2020-02-12	0	0	0	0	0	0	0	0
2020-02-13	0	0	0	0	0	0	0	0
2020-02-14	0	0	0	0	0	0	0	0
2020-02-15	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0
2020-02-17	0	0	0	0	0	0	0	0
2020-02-18	0	0	0	0	0	0	0	0
2020-02-19	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0
2020-02-25	0	0	0	0	0	0	0	0
2020-02-26	0	0	0	0	0	0	0	0
2020-02-27	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0
2020-02-29	0.132703592856884	0	0.447795346779434	0	0	0	0	0.00304655573119389
2020-03-01	0	0	0	0	0	0	0	0
2020-03-02	0.66351796428442	0	1.79118138711773	0	0	0	0	0.0152327786559695
2020-03-03	0.132703592856884	0	0.447795346779434	0	0	0	0	0.00304655573119389
2020-03-04	0.398110778570652	0	1.3433860403383	0	0	0	0	0.0121862229247756
2020-03-05	0.132703592856884	0	0.447795346779434	0	0	0	0	0.00304655573119389
2020-03-06	0.265407185713768	0	0.895590693558867	0	0	0	0	0.00609311146238779
2020-03-07	0.398110778570652	0	1.3433860403383	0	0	0	0	0.00913966719358168
